EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000728130340576,0,1,INITIAL_BUFFERING,Writing,45226
0.00638008117676,0,1,PLAY,InitialBuffering-Play,0
0.008131980896,0,0,PLAY,StillPlaying,45226
0.294481039047,0,1,PLAY,Writing,45226.0
0.761494159698,0,2,PLAY,Writing,88783.0
1.59657716751,1,3,PLAY,Writing,128503.0
2.61038899422,2,4,PLAY,Writing,177437.0
3.65906500816,3,5,PLAY,Writing,217761.0
4.0101120472,4,4,PLAY,StillPlaying,45226.0
4.75315403938,4,5,PLAY,Writing,255865.0
6.7109849453,6,6,PLAY,Writing,323047.0
8.01000905037,8,5,PLAY,StillPlaying,88783.0
9.23176217079,9,6,PLAY,Writing,378355.0
11.9890501499,11,7,PLAY,Writing,509091.0
12.009483099,12,6,PLAY,StillPlaying,128503.0
15.0577919483,15,7,PLAY,Writing,509091.0
16.0104711056,16,6,PLAY,StillPlaying,177437.0
18.0986850262,18,7,PLAY,Writing,509091.0
20.0101420879,20,6,PLAY,StillPlaying,217761.0
21.6778490543,21,7,PLAY,Writing,577751.0
24.0101721287,24,6,PLAY,StillPlaying,255865.0
25.2399160862,25,7,PLAY,Writing,577751.0
28.009732008,28,6,PLAY,StillPlaying,323047.0
28.8222739697,28,7,PLAY,Writing,577751.0
30.4373440742,30,8,PLAY,Writing,577751.0
32.0097620487,32,7,PLAY,StillPlaying,378355.0
32.7573070526,32,8,PLAY,Writing,577751.0
35.788916111,35,9,PLAY,Writing,577751.0
36.0095291138,36,8,PLAY,StillPlaying,509091.0
38.3987510204,38,9,PLAY,Writing,577751.0
40.0098531246,40,8,PLAY,StillPlaying,509091.0
41.1624000072,41,9,PLAY,Writing,577751.0
44.0099141598,44,8,PLAY,StillPlaying,509091.0
44.6632480621,44,9,PLAY,Writing,577751.0
48.0097200871,48,8,PLAY,StillPlaying,577751.0
48.1043269634,48,9,PLAY,Writing,577751.0
50.1486051083,50,10,PLAY,Writing,577751.0
52.0097811222,52,9,PLAY,StillPlaying,577751.0
52.4024760723,52,10,PLAY,Writing,577751.0
53.571723938,53,11,PLAY,Writing,577751.0
56.0405831337,56,10,PLAY,StillPlaying,577751.0
59.5712180138,59,11,PLAY,Writing,577751.0
60.0097780228,60,10,PLAY,StillPlaying,577751.0
64.009786129,64,9,PLAY,StillPlaying,577751.0
65.4893939495,65,10,PLAY,Writing,577751.0
68.0097680092,68,9,PLAY,StillPlaying,577751.0
68.2950680256,68,10,PLAY,Writing,577751.0
70.1019561291,70,11,PLAY,Writing,577751.0
72.0098111629,72,10,PLAY,StillPlaying,577751.0
76.0097279549,76,9,PLAY,StillPlaying,577751.0
77.4676339626,77,10,PLAY,Writing,577751.0
80.010007143,80,9,PLAY,StillPlaying,577751.0
80.7878091335,80,10,PLAY,Writing,577751.0
84.0097110271,84,9,PLAY,StillPlaying,577751.0
84.0693531036,84,10,PLAY,Writing,577751.0
86.4107470512,86,11,PLAY,Writing,577751.0
88.0102441311,88,10,PLAY,StillPlaying,577751.0
92.009773016,92,9,PLAY,StillPlaying,577751.0
93.7696020603,93,10,PLAY,Writing,577751.0
96.0097250938,96,9,PLAY,StillPlaying,577751.0
97.2667710781,97,10,PLAY,Writing,577751.0
100.009904146,100,9,PLAY,StillPlaying,577751.0
100.768764973,100,10,PLAY,Writing,577751.0
104.009799957,104,9,PLAY,StillPlaying,577751.0
104.302011013,104,10,PLAY,Writing,577751.0
106.647670031,106,11,PLAY,Writing,577751.0
108.00980711,108,10,PLAY,StillPlaying,577751.0
112.009740114,112,9,PLAY,StillPlaying,577751.0
113.854496002,113,10,PLAY,Writing,577751.0
116.009780169,116,9,PLAY,StillPlaying,577751.0
117.101645947,117,10,PLAY,Writing,577751.0
118.631118059,118,11,PLAY,Writing,577751.0
120.009725094,120,10,PLAY,StillPlaying,577751.0
124.009739161,124,9,PLAY,StillPlaying,577751.0
125.631591082,125,10,PLAY,Writing,577751.0
128.009782076,128,9,PLAY,StillPlaying,577751.0
128.233088017,128,10,PLAY,Writing,577751.0
130.16852212,130,11,PLAY,Writing,577751.0
132.009835958,132,10,PLAY,StillPlaying,577751.0
136.010118961,136,9,PLAY,StillPlaying,577751.0
136.404062986,136,10,PLAY,Writing,577751.0
139.753505945,139,11,PLAY,Writing,577751.0
140.00987196,140,10,PLAY,StillPlaying,577751.0
144.009736061,144,9,PLAY,StillPlaying,577751.0
145.958160162,145,10,PLAY,Writing,577751.0
148.009747982,148,9,PLAY,StillPlaying,577751.0
149.429928064,149,10,PLAY,Writing,577751.0
151.485437155,151,11,PLAY,Writing,577751.0
152.010013103,152,10,PLAY,StillPlaying,577751.0
156.009695053,156,9,PLAY,StillPlaying,577751.0
157.545835018,157,10,PLAY,Writing,577751.0
159.853121042,159,11,PLAY,Writing,577751.0
160.009523153,160,10,PLAY,StillPlaying,577751.0
164.010161161,164,9,PLAY,StillPlaying,577751.0
165.558134079,165,10,PLAY,Writing,577751.0
168.009717941,168,9,PLAY,StillPlaying,577751.0
169.427293062,169,10,PLAY,Writing,782553.0
172.01010108,172,9,PLAY,StillPlaying,577751.0
173.81598115,173,10,PLAY,Writing,782553.0
176.009701967,176,9,PLAY,StillPlaying,577751.0
177.208618164,177,10,PLAY,Writing,577751.0
180.009711981,180,9,PLAY,StillPlaying,577751.0
180.557209969,180,10,PLAY,Writing,577751.0
181.873254061,181,11,PLAY,Writing,577751.0
184.009799957,184,10,PLAY,StillPlaying,577751.0
188.009958982,188,9,PLAY,StillPlaying,577751.0
188.67684412,188,10,PLAY,Writing,577751.0
190.721863985,190,11,PLAY,Writing,577751.0
192.009782076,192,10,PLAY,StillPlaying,577751.0
196.009731054,196,9,PLAY,StillPlaying,577751.0
197.550071955,197,10,PLAY,Writing,577751.0
200.009763956,200,9,PLAY,StillPlaying,577751.0
200.259377003,200,10,PLAY,Writing,577751.0
202.488430977,202,11,PLAY,Writing,577751.0
204.009823084,204,10,PLAY,StillPlaying,577751.0
208.010190964,208,9,PLAY,StillPlaying,782553.0
209.942939043,209,10,PLAY,Writing,577751.0
212.009789944,212,9,PLAY,StillPlaying,782553.0
212.990250111,212,10,PLAY,Writing,577751.0
216.009747982,216,9,PLAY,StillPlaying,577751.0
216.275834084,216,10,PLAY,Writing,577751.0
218.166867971,218,11,PLAY,Writing,577751.0
220.010139942,220,10,PLAY,StillPlaying,577751.0
224.010108948,224,9,PLAY,StillPlaying,577751.0
224.975213051,224,10,PLAY,Writing,577751.0
227.074748039,227,11,PLAY,Writing,577751.0
228.042971134,228,10,PLAY,StillPlaying,577751.0
232.009695053,232,9,PLAY,StillPlaying,577751.0
234.383373976,234,10,PLAY,Writing,577751.0
236.010167122,236,9,PLAY,StillPlaying,577751.0
237.944882154,237,10,PLAY,Writing,577751.0
240.010293961,240,9,PLAY,StillPlaying,577751.0
241.177067995,241,10,PLAY,Writing,577751.0
244.009756088,244,9,PLAY,StillPlaying,577751.0
244.477704048,244,10,PLAY,Writing,577751.0
246.233307123,246,11,PLAY,Writing,577751.0
248.009814024,248,10,PLAY,StillPlaying,577751.0
252.010043144,252,9,PLAY,StillPlaying,577751.0
252.637551069,252,10,PLAY,Writing,577751.0
255.036818027,255,11,PLAY,Writing,577751.0
256.024793148,256,10,PLAY,StillPlaying,577751.0
260.010183096,260,9,PLAY,StillPlaying,577751.0
261.7792871,261,10,PLAY,Writing,577751.0
264.010087013,264,9,PLAY,StillPlaying,577751.0
264.413761139,264,10,PLAY,Writing,577751.0
